"filename", "language", "TypeScript", "TypeScript JSX", "XML", "JSON", "CSS", "JavaScript", "JSON with Comments", "Markdown", "HTML", "comment", "blank", "total"
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/CourseProgress.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 29
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/Message.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 36
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/Notification.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/OTP.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 40
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/Profile.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 41
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/Rating.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 31
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/Section.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 24
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/SubSection.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 32
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/User.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 82
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/routes/authRoutes.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 33
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/routes/courseRoutes.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 68
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/types/env.d.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/websocket/sendMessage.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 29
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/App.css", "CSS", 0, 0, 0, 0, 353, 0, 0, 0, 0, 15, 32, 400
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/App.tsx", "TypeScript JSX", 0, 111, 0, 0, 0, 0, 0, 0, 0, 41, 19, 171
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/assets/Images/Compare_with_others.svg", "XML", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/assets/Images/Know_your_progress.svg", "XML", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/assets/Images/Plan_your_lessons.svg", "XML", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 1, 87
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/assets/Images/bghome.svg", "XML", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 1, 72
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/assets/TimeLineLogo/Logo1.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/assets/TimeLineLogo/Logo2.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/assets/TimeLineLogo/Logo3.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/assets/TimeLineLogo/Logo4.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/AddModal.tsx", "TypeScript JSX", 0, 258, 0, 0, 0, 0, 0, 0, 0, 18, 15, 291
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/ViewModal.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/builder/CourseBuilder.tsx", "TypeScript JSX", 0, 203, 0, 0, 0, 0, 0, 0, 0, 18, 12, 233
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/builder/Section.tsx", "TypeScript JSX", 0, 160, 0, 0, 0, 0, 0, 0, 0, 12, 8, 180
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/info/CourseInfo.tsx", "TypeScript JSX", 0, 415, 0, 0, 0, 0, 0, 0, 0, 28, 16, 459
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/AddCourse/publish/CoursePublish.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 0, 0, 0, 0, 6, 10, 69
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Cart/CartItem.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 5, 6, 78
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Cart/CartPage.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 4, 43
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CatalogPage/CategoryTab.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CatalogPage/Header.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 3, 35
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Chat/ChatSidebar.tsx", "TypeScript JSX", 0, 144, 0, 0, 0, 0, 0, 0, 0, 10, 11, 165
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Chat/ChatUser.tsx", "TypeScript JSX", 0, 212, 0, 0, 0, 0, 0, 0, 0, 21, 23, 256
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CoursePageDetails/CourseContent.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 0, 0, 0, 0, 9, 5, 80
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CoursePageDetails/InstructorDetails.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CoursePageDetails/RatingAndReviews.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/CoursePageDetails/SubSectionContent.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Dashboard/Sidebar.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 0, 0, 0, 0, 30, 10, 136
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/Dashboard/SidebarLink.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 4, 8, 46
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/HomePage/CodeBlocks.tsx", "TypeScript JSX", 0, 78, 0, 0, 0, 0, 0, 0, 0, 2, 5, 85
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/HomePage/HighlightButton.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/src/components/HomePage/HighlightText.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
